,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
3495,21,3,182606,6,10,1,5,4,2,1,0,0,40,1,1
3532,34,3,127651,13,6,1,9,1,1,1,0,0,44,1,1
3636,45,3,304570,16,8,2,10,2,3,1,0,0,40,29,1
3856,22,3,129934,6,10,1,1,1,3,1,0,0,40,38,1
3858,31,3,375680,1,13,1,4,5,2,2,0,0,40,1,1
4006,35,3,124483,1,13,1,6,1,3,1,0,0,50,30,2
4156,20,3,54152,6,10,1,1,4,1,2,0,0,30,1,1
4172,46,3,324655,4,14,2,11,2,1,1,0,1902,40,1,2
4197,51,4,45334,6,10,2,13,2,3,1,0,0,70,1,1
4244,42,2,183765,7,12,2,6,2,1,1,0,0,40,1,1
4301,25,3,204338,2,9,1,9,5,1,1,0,0,30,1,1
4326,64,3,164204,14,2,2,8,2,1,1,0,0,53,1,1
4396,17,3,160118,16,8,1,6,1,1,2,0,0,10,1,1
4405,45,3,102096,1,13,2,2,2,1,1,0,0,40,1,2
4462,28,3,309620,6,10,2,6,2,5,1,0,0,60,1,1
4510,46,3,39363,6,10,3,5,5,1,2,0,0,10,1,1
4578,48,3,229846,8,11,3,5,1,1,2,0,0,40,1,1
4599,46,7,219962,1,13,2,10,2,1,1,7298,0,40,1,2
4639,30,5,125159,1,13,1,4,1,2,1,14084,0,45,1,2
4656,37,5,287306,7,12,2,4,3,2,2,99999,0,40,1,2
4658,18,3,146378,6,10,1,5,4,1,2,0,0,40,1,1
4671,46,3,179048,2,9,2,6,2,1,1,0,0,35,1,1
4772,66,5,222810,6,10,3,5,6,1,2,7896,0,40,1,2
4786,24,3,184400,2,9,1,8,4,3,1,0,0,30,1,1
4827,34,7,207668,2,9,2,7,2,1,1,0,0,54,1,2
5081,37,3,163392,2,9,1,8,6,3,1,0,0,40,39,1
5180,36,3,135293,1,13,3,4,5,1,2,1506,0,45,1,1
5185,21,3,206861,6,10,1,6,4,1,1,0,0,20,1,1
5201,76,2,33213,4,14,2,4,2,1,1,0,0,30,1,2
5234,42,7,204033,1,13,2,1,3,1,2,0,0,35,1,1
5309,41,3,70037,6,10,1,7,5,1,1,0,3004,60,1,2
5347,35,3,90273,9,4,2,10,2,1,1,0,0,40,1,2
5374,55,3,157079,6,10,2,13,2,2,1,0,0,40,1,2
5401,25,3,233777,2,9,1,8,6,1,1,0,0,40,1,1
5450,21,3,206492,2,9,1,6,4,1,2,0,0,40,1,1
5540,50,3,128378,12,3,2,3,2,1,1,0,0,55,1,1
5647,30,3,164190,2,9,1,1,1,1,1,0,0,38,1,1
5663,53,5,228723,2,9,3,7,1,5,1,0,0,40,1,2
5683,41,3,163322,1,13,3,11,1,1,2,0,0,30,1,1
5709,37,4,129573,10,16,2,4,2,1,1,0,0,72,1,2
5823,38,2,414991,2,9,2,10,2,1,1,0,0,70,1,1
5841,50,3,196193,4,14,4,4,6,1,1,0,0,60,1,1
5854,40,3,37618,6,10,2,7,2,1,1,0,0,40,1,1
5963,36,3,189674,2,9,1,15,5,2,2,0,0,28,1,1
6005,41,3,182567,1,13,2,2,2,1,1,0,0,40,1,2
6129,63,3,88653,6,10,2,4,2,1,1,0,0,40,1,1
6176,27,3,269354,1,13,2,6,2,1,1,0,0,25,1,1
6186,43,3,163215,1,13,2,5,3,1,2,0,0,35,1,2
6242,27,3,195681,6,10,1,4,1,1,2,0,0,48,1,1
6319,38,3,189404,2,9,4,5,1,1,1,0,0,35,1,1
6360,42,3,132633,2,9,1,15,1,1,2,0,0,40,1,1
6364,33,3,164707,7,12,1,2,5,1,2,2174,0,55,1,1
6376,30,3,179112,1,13,1,4,4,2,1,0,0,40,1,1
6395,24,4,215115,1,13,1,11,4,1,2,0,0,40,1,1
6533,35,3,188069,4,14,1,4,1,1,1,13550,0,55,1,2
6676,25,3,310864,1,13,1,11,1,2,1,0,0,40,1,1
6737,42,3,50018,2,9,2,5,2,1,1,0,0,40,1,1
6844,37,4,325538,4,14,2,4,2,1,1,0,0,40,1,2
7045,35,3,343403,10,16,2,11,3,1,2,0,0,20,1,1
7072,32,3,245482,2,9,2,10,2,3,1,0,0,40,14,1
7080,18,3,74054,3,7,1,6,4,5,2,0,0,20,1,1
7096,46,3,170850,1,13,3,10,1,1,1,0,1590,40,1,1
7153,20,3,197496,6,10,1,6,4,1,1,0,0,30,1,1
7166,39,3,487486,2,9,7,3,5,1,1,0,0,40,1,1
7176,44,7,195124,2,9,2,8,2,1,1,0,0,60,1,1
7253,48,3,166929,1,13,2,1,2,1,1,0,0,45,1,2
7284,40,4,163215,1,13,1,4,1,1,2,0,0,40,1,1
7327,53,1,104501,10,16,2,4,2,1,1,0,0,40,1,2
7345,20,3,285295,6,10,1,10,1,3,2,0,0,40,1,1
7398,60,3,216690,6,10,2,4,2,1,1,0,0,40,1,1
7475,38,3,193026,2,9,1,5,5,1,1,0,1408,40,1,1
7615,46,4,233555,2,9,3,1,5,2,2,0,0,40,1,1
7634,62,1,221558,4,14,5,4,5,1,2,0,0,24,1,1
7688,30,2,178255,1,13,2,6,2,1,1,0,0,70,1,1
7850,57,3,140426,14,2,4,5,1,1,1,0,0,35,6,1
7861,41,3,169628,2,9,2,10,3,2,2,0,0,40,1,1
7902,35,3,359131,1,13,2,4,3,1,2,7298,0,8,1,2
7964,23,3,361481,13,6,2,5,2,1,1,0,0,40,1,1
7990,27,3,210867,9,4,1,9,4,1,1,0,0,50,1,1
8145,41,3,207685,2,9,2,8,2,1,1,0,0,45,1,1
8160,29,3,144259,1,13,2,3,2,2,1,4386,0,80,1,2
8207,56,3,208415,2,9,3,2,1,2,1,0,0,40,1,1
8225,36,2,343721,10,16,1,4,1,1,1,0,0,30,1,2
8282,43,3,143582,12,3,2,10,3,3,2,0,2129,72,29,1
8356,37,3,130620,16,8,2,6,3,3,2,0,0,33,1,1
8365,34,3,241360,2,9,2,4,2,1,1,0,0,40,1,1
8477,24,3,178255,6,10,2,15,3,1,2,0,0,40,1,1
8871,29,3,190350,16,8,1,5,5,2,2,0,0,35,1,1
8903,40,7,190290,1,13,2,6,2,1,1,0,0,40,1,2
8915,41,3,216116,2,9,5,1,5,2,2,0,0,40,1,1
9015,40,5,269168,2,9,2,5,2,5,1,0,0,40,1,1
9040,28,3,103802,1,13,1,2,4,1,2,0,1408,40,1,1
9237,50,3,162327,1,13,2,1,2,1,1,0,1902,50,1,2
9366,19,3,158343,6,10,1,11,4,1,2,0,0,40,1,1
9418,54,7,99185,10,16,2,4,2,1,1,0,0,50,1,2
9503,46,7,328216,1,13,2,6,2,1,1,0,1902,42,1,2
9537,26,3,149943,2,9,1,5,6,3,1,0,0,60,14,1
9559,42,3,46221,10,16,4,5,1,1,1,27828,0,60,1,2
9580,35,4,35309,1,13,1,11,1,3,1,0,0,28,1,1
9624,29,3,394927,8,11,2,5,2,1,1,0,0,40,1,1
9739,36,2,160120,1,13,2,6,2,5,1,0,0,45,1,1
9785,45,7,155664,12,3,2,7,2,1,1,0,0,40,1,2
9799,52,3,84278,6,10,2,2,2,1,1,7688,0,55,1,2
9849,18,3,120691,6,10,1,5,4,2,1,0,0,35,1,1
9866,61,3,119986,4,14,2,4,2,1,1,0,0,40,1,2
9985,26,3,142689,1,13,1,4,1,1,1,0,0,45,1,1
10011,30,3,496414,10,16,1,4,1,1,1,0,0,40,1,1
10062,38,3,179579,6,10,2,4,2,1,1,0,0,50,1,2
10182,39,3,112158,6,10,2,6,2,1,1,0,0,26,1,1
10184,42,2,115323,10,16,1,4,1,1,1,0,0,7,1,1
10218,52,2,135339,6,10,2,7,2,3,1,0,0,40,1,2
10288,41,7,397280,1,13,2,2,2,1,1,0,0,72,1,1
10343,39,2,331481,1,13,3,7,1,2,1,0,1669,60,1,1
10353,33,3,126414,1,13,2,5,3,1,2,0,0,40,1,1
10403,28,3,150025,3,7,1,7,1,1,1,0,0,40,1,1
10408,39,3,137522,2,9,2,10,2,3,1,0,0,40,18,2
10574,37,3,59313,6,10,5,5,1,2,1,0,0,40,1,1
10634,54,2,121761,2,9,2,2,2,3,1,0,0,50,7,1
10647,42,5,185129,10,16,2,2,2,1,1,0,0,43,1,2
10674,37,3,188576,10,16,2,4,2,3,1,0,0,40,29,1
10762,45,7,185497,1,13,2,2,3,3,2,0,0,70,19,1
10777,53,3,88725,2,9,1,7,1,5,2,0,0,40,1,1
10782,26,3,227489,2,9,1,11,6,2,1,0,0,40,1,1
11147,31,3,185480,2,9,2,1,3,1,2,0,0,40,1,2
11187,65,3,271092,6,10,3,1,5,1,2,0,0,40,1,1
11221,37,5,244803,2,9,2,7,2,1,1,0,0,40,1,1
11284,35,3,200117,1,13,2,2,2,3,1,0,1887,50,4,2
11300,31,3,217962,16,8,1,3,1,2,1,0,0,40,1,1
11423,36,3,135162,2,9,1,6,4,1,1,0,0,45,1,1
11446,54,2,117674,6,10,3,7,1,1,1,0,0,40,1,1
11477,36,3,58337,13,6,1,6,5,1,2,0,0,35,1,1
11595,19,3,258633,6,10,1,1,4,1,2,0,0,25,1,1
11652,30,7,321990,4,14,2,2,2,1,1,15024,0,60,1,2
11659,59,3,147989,2,9,2,10,2,1,1,0,0,40,1,1
11983,40,3,170019,2,9,1,5,1,1,1,0,0,40,1,1
11988,50,2,95577,2,9,2,5,3,1,2,0,0,12,1,1
12004,46,3,113806,16,8,2,7,2,1,1,7298,0,40,1,2
12082,36,3,242713,2,9,3,1,5,2,2,0,0,40,1,1
12114,36,3,247558,11,15,2,4,2,1,1,5178,0,60,1,2
12172,27,3,104457,1,13,1,10,1,3,1,0,0,40,14,1
12260,31,3,166343,2,9,1,10,4,2,1,0,0,50,1,1
12280,24,3,122234,6,10,1,1,1,2,2,0,0,20,1,1
12315,52,3,201310,1,13,3,2,1,1,1,0,0,40,1,1
12329,22,3,112164,6,10,1,2,4,1,2,0,0,40,1,1
12362,29,1,106334,4,14,1,2,1,1,1,0,0,40,1,1
12470,31,5,176185,1,13,2,10,2,1,1,4064,0,40,1,1
12560,34,3,303187,1,13,2,4,2,3,1,0,0,40,14,2
12643,45,3,274657,3,7,2,7,2,1,1,0,0,40,1,1
12655,36,7,216711,2,9,2,2,2,1,1,99999,0,50,1,2
12690,35,3,152734,6,10,2,13,2,2,1,0,0,40,1,1
12695,22,1,156773,6,10,1,4,1,1,1,0,0,15,1,1
12716,28,3,224506,6,10,2,6,2,2,1,0,0,40,1,1
12748,55,3,305759,2,9,3,5,1,1,1,0,0,40,1,1
12830,81,3,201398,4,14,7,4,5,1,1,0,0,60,1,1
12899,41,3,529216,1,13,3,11,5,2,1,7430,0,45,1,2
12959,18,3,118376,6,10,1,5,4,1,2,0,0,16,1,1
12973,26,3,153078,2,9,1,1,4,3,1,0,0,80,1,2
13088,25,3,250038,8,11,1,1,1,1,1,0,0,40,1,1
13198,63,3,225102,2,9,2,3,2,2,1,0,0,40,1,1
13201,28,3,150025,5,5,1,7,1,1,1,0,0,50,1,2
13281,26,3,243560,6,10,1,6,5,1,2,0,0,40,1,1
13305,22,3,433669,7,12,1,3,1,1,1,0,0,36,1,1
13499,50,3,238959,1,13,2,6,2,1,1,99999,0,60,1,2
13603,18,2,296090,2,9,1,6,4,1,1,0,0,48,1,1
13691,51,3,199688,1,13,2,2,2,1,1,0,1977,60,1,2
13747,38,3,154568,4,14,2,2,2,3,1,0,0,40,14,1
13768,37,4,81853,2,9,3,4,5,3,2,0,0,40,1,1
13817,37,3,82283,12,3,2,5,2,3,1,0,0,40,14,1
13820,59,3,424468,2,9,2,7,2,1,1,0,0,40,1,1
13826,26,3,56929,1,13,1,2,1,2,1,0,0,50,1,1
13827,34,3,25322,1,13,4,10,1,3,1,0,2339,40,14,1
13897,24,3,193920,4,14,1,15,1,1,2,0,0,45,1,1
13913,24,3,464502,7,12,1,6,1,2,1,0,0,40,1,1
13918,55,3,308118,1,13,7,10,5,1,2,0,0,40,1,1
13971,45,3,480717,1,13,2,5,2,3,1,0,0,38,29,1
14043,22,3,412316,2,9,1,6,6,2,1,0,0,40,1,1
14085,39,3,59313,16,8,4,8,1,2,1,0,0,45,1,1
14102,30,3,180656,6,10,4,7,1,1,1,0,0,40,1,1
14195,32,2,116834,2,9,2,5,3,1,2,0,0,5,1,1
14234,44,3,159297,2,9,2,2,3,3,2,0,0,40,29,2
14246,42,7,125846,14,2,2,6,2,1,1,0,0,60,1,1
14340,21,3,202570,16,8,1,1,6,2,1,0,0,48,1,1
14368,48,7,56975,2,9,3,6,5,3,2,0,0,84,1,1
14410,31,2,145162,1,13,2,2,2,1,1,0,0,60,1,2
14459,26,3,350853,12,3,1,8,1,1,1,0,0,40,6,1
14562,38,3,220237,8,11,2,7,2,1,1,0,0,40,1,2
14577,43,5,144778,2,9,2,2,2,1,1,0,0,40,1,1
14582,35,3,187415,12,3,2,10,2,3,1,0,0,50,1,1
14584,56,3,98361,4,14,2,4,2,1,1,0,0,40,1,2
14592,19,3,223648,3,7,1,6,4,1,1,0,0,20,1,1
14857,72,3,97304,2,9,4,10,5,1,1,2346,0,40,1,1
15023,45,7,120131,9,4,2,2,2,1,1,0,0,52,1,1
15036,55,3,158702,6,10,1,1,1,2,2,0,2339,45,1,1
15136,26,3,239303,1,13,2,4,2,1,1,0,0,50,1,1
15152,32,2,62165,1,13,2,2,2,2,1,0,0,40,1,1
15161,38,3,81232,1,13,2,2,2,1,1,0,0,40,1,2
15197,42,3,143582,9,4,2,5,6,3,2,0,0,48,29,1
15219,26,3,147821,1,13,1,6,4,1,2,0,0,45,1,1
15444,20,3,219266,2,9,2,4,4,1,2,0,0,36,1,1
15475,42,3,236021,2,9,2,7,2,1,1,0,0,40,1,2
15528,45,7,121836,6,10,2,4,3,1,2,0,0,40,1,2
15594,34,3,202822,4,14,1,11,5,2,2,0,0,40,1,1
15609,63,3,181828,2,9,2,6,2,1,1,0,0,48,1,1
15613,22,5,211129,8,11,1,1,4,1,2,0,0,10,1,1
15672,60,2,146674,2,9,3,7,1,2,1,0,0,50,1,1
15678,42,2,183765,1,13,1,4,1,1,1,0,0,50,1,1
15692,39,7,116358,1,13,2,6,2,3,1,7688,0,40,14,2
15734,51,4,215948,6,10,2,3,2,5,1,0,0,40,1,1
15792,34,2,213226,1,13,2,2,2,1,1,0,1485,35,1,1
15863,34,3,220631,8,11,1,5,1,1,1,0,0,50,1,1
15931,22,3,253799,1,13,2,10,2,1,1,0,0,45,1,1
15932,52,3,266138,1,13,2,2,2,1,1,0,0,40,1,2
15953,31,3,591711,6,10,4,8,1,2,1,0,0,40,1,1
15988,32,5,190889,4,14,1,4,1,5,2,0,0,40,1,1
16036,28,3,177119,4,14,1,2,1,1,2,0,0,80,1,1
16079,51,3,145714,4,14,2,2,2,1,1,99999,0,50,1,2
16108,74,3,194312,5,5,7,7,1,1,1,0,0,10,1,1
16141,33,5,222654,6,10,2,3,2,1,1,0,0,66,1,1
16142,56,3,251836,12,3,2,5,2,1,1,0,0,40,6,1
16231,45,3,199058,1,13,2,2,2,1,1,0,0,48,1,1
16260,39,2,160120,10,16,3,1,6,5,1,0,0,40,1,1
16266,46,3,126513,2,9,5,7,5,2,2,0,0,40,1,1
16328,43,3,95634,1,13,2,5,3,3,2,0,0,45,7,1
16381,20,3,219835,6,10,1,6,4,1,1,0,0,30,1,1
16417,43,3,195212,1,13,2,2,3,2,2,0,0,40,1,1
16439,35,3,186126,4,14,2,4,2,1,1,0,0,38,1,1
16500,52,3,178983,10,16,2,4,2,1,1,0,0,40,1,2
16635,48,2,162236,4,14,7,2,5,1,2,0,0,40,1,2
16647,49,3,133917,8,11,1,6,6,2,1,0,0,40,1,1
16862,35,2,193260,4,14,2,6,2,3,1,0,0,40,4,2
16975,30,3,144593,2,9,1,5,1,2,1,0,0,40,1,1
17021,29,3,113870,14,2,2,5,2,1,1,0,0,40,6,1
17107,25,3,164488,1,13,2,4,2,1,1,0,0,40,1,1
17193,34,3,238305,6,10,2,5,3,1,2,0,1628,12,1,1
17201,44,5,135056,4,14,3,4,5,1,2,0,0,16,1,1
17274,41,3,185057,8,11,1,7,1,1,2,0,0,40,1,1
17378,36,3,177907,1,13,1,5,1,1,1,2176,0,20,1,1
17452,47,7,119471,9,4,1,7,1,5,1,0,0,40,1,1
17481,18,3,205894,6,10,1,6,4,1,1,0,0,25,1,1
17482,39,2,218490,11,15,2,4,2,1,1,0,2415,50,1,2
17623,43,3,183765,6,10,3,11,1,1,1,0,0,40,1,2
17647,41,3,216968,1,13,1,3,1,2,1,0,0,40,1,1
17894,26,3,359327,6,10,2,6,2,1,1,0,0,50,1,1
18065,32,3,154571,6,10,1,5,6,3,1,0,0,40,14,1
18233,45,3,129387,7,12,3,11,5,1,2,0,0,40,1,1
18277,90,3,311184,1,13,2,6,2,1,1,0,0,20,1,1
18365,37,3,196529,6,10,7,5,1,1,2,2354,0,40,1,1
18412,43,4,156996,11,15,2,4,2,3,1,0,2415,55,4,2
18438,31,3,217962,6,10,1,13,6,2,1,0,0,40,1,1
18459,44,7,116358,1,13,2,6,2,3,1,0,0,50,1,2
18555,30,3,144593,2,9,1,5,1,2,1,0,0,40,1,1
18585,29,3,54411,2,9,1,9,1,1,1,0,0,50,1,1
18672,42,3,157367,2,9,1,1,5,2,2,0,0,35,1,1
18677,33,3,160216,4,14,1,2,1,1,2,0,0,32,1,1
18906,43,1,506329,1,13,2,4,2,3,1,15024,0,40,1,2
18909,50,2,221336,6,10,3,2,5,3,2,0,0,40,1,1
18982,44,3,237993,11,15,2,10,2,1,1,0,0,45,1,1
19037,39,3,144608,1,13,1,4,1,1,1,0,0,40,1,2
19046,39,3,258276,1,13,2,11,2,3,1,3137,0,40,14,1
19055,57,3,143030,2,9,7,5,5,1,2,0,0,30,1,1
19169,36,2,609935,1,13,2,8,2,2,1,0,0,48,1,1
19245,41,3,203943,16,8,2,13,2,2,1,0,0,40,1,1
19256,30,3,119164,1,13,1,5,5,1,1,0,0,40,1,1
19299,39,3,258037,4,14,1,1,1,1,1,0,0,40,1,1
19316,21,3,400635,6,10,1,5,1,1,2,0,0,20,1,1
19326,38,1,110426,10,16,2,4,3,1,2,7688,0,40,1,2
19346,39,3,165106,1,13,4,7,1,1,1,0,1564,50,1,2
19351,33,3,35309,1,13,1,2,1,3,1,0,0,40,1,1
19414,34,3,317809,1,13,2,2,2,1,1,0,0,50,1,2
19490,63,3,221072,1,13,2,7,2,1,1,0,0,49,1,1
19532,27,3,133929,1,13,1,4,5,1,2,0,0,36,1,1
19626,36,3,150601,11,15,2,4,2,1,1,0,0,50,1,1
19676,56,3,215839,6,10,2,8,2,1,1,0,0,60,1,1
19709,58,2,147653,13,6,2,7,3,1,2,0,1977,35,1,2
19727,38,3,152237,1,13,1,6,1,1,1,0,0,45,1,2
19768,63,3,339755,1,13,2,4,2,1,1,0,0,50,1,2
19784,35,3,126675,2,9,3,7,1,1,1,0,0,46,1,1
19787,29,3,46609,13,6,1,7,1,2,1,0,0,40,1,1
19946,28,3,315287,2,9,1,1,6,2,1,0,0,40,1,1
19997,72,3,268861,9,4,7,5,1,1,2,0,0,99,1,1
20203,22,3,166371,2,9,1,5,6,1,1,0,0,40,1,1
20284,34,3,263307,1,13,1,6,5,2,1,0,0,45,1,1
20358,47,3,209212,5,5,2,10,2,2,1,0,0,56,1,1
20464,57,2,275943,9,4,2,4,2,1,1,0,0,40,1,1
20499,37,3,245482,2,9,2,8,2,3,1,0,0,40,1,1
20531,34,3,609789,2,9,2,5,2,1,1,0,0,30,1,1
20632,33,3,137310,2,9,1,10,4,1,2,0,0,40,1,1
20638,39,3,99146,4,14,2,4,2,1,1,0,0,40,1,2
20657,46,7,175958,16,8,2,7,2,1,1,0,0,45,1,1
20658,36,3,218948,5,5,5,5,5,2,2,0,0,40,1,1
20716,52,3,155433,12,3,1,10,1,1,2,0,0,40,1,1
20747,24,3,229553,2,9,1,5,4,2,2,0,0,20,1,1
20847,30,3,191777,6,10,1,1,5,2,2,0,0,40,1,1
21062,21,3,86625,6,10,1,10,4,1,1,0,0,40,1,1
21108,30,3,158200,11,15,1,4,4,3,2,0,0,40,1,1
21126,52,3,92968,1,13,5,2,5,1,2,0,0,40,1,1
21134,42,5,177937,1,13,3,4,1,1,1,0,0,50,1,1
21195,55,3,196126,1,13,5,7,1,1,1,0,0,40,1,1
21226,47,3,202812,4,14,2,4,2,1,1,0,0,40,1,2
21264,38,3,108907,2,9,3,10,5,1,1,0,0,40,1,1
21382,62,5,41793,4,14,5,4,1,1,2,0,0,50,1,1
21393,37,2,187411,1,13,2,8,2,1,1,0,0,50,1,1
21531,32,3,199655,6,10,2,1,3,5,2,0,1740,40,1,1
21541,27,3,169958,12,3,1,7,4,1,1,0,0,40,1,1
21556,37,7,188774,3,7,4,6,1,1,1,0,0,60,1,1
21668,42,3,337629,16,8,2,7,2,2,1,0,0,60,1,2
21722,49,3,149809,15,1,2,5,2,1,1,0,0,40,1,1
21818,50,5,157043,4,14,3,4,1,2,2,2202,0,30,1,1
22002,32,3,228357,8,11,3,5,5,1,2,0,0,40,1,1
22068,56,3,165315,13,6,2,7,2,1,1,0,0,70,1,1
22106,24,1,27939,6,10,2,5,2,3,1,0,0,24,1,1
22230,44,3,228729,2,9,2,7,2,2,1,0,0,40,1,1
22241,27,3,209801,6,10,1,1,1,1,2,0,0,45,1,1
22264,31,3,164707,6,10,1,6,6,1,2,0,0,40,1,1
22317,40,3,79586,11,15,2,4,2,3,1,99999,0,40,4,2
22351,33,5,293063,1,13,4,4,6,2,1,0,0,40,1,1
22429,33,3,112847,2,9,2,8,2,3,1,0,0,40,1,1
22474,34,3,198613,3,7,2,6,2,1,1,0,0,25,1,1
22540,43,3,244172,2,9,2,10,2,1,1,0,0,35,1,1
22561,28,3,37821,8,11,1,6,5,1,2,0,0,55,1,1
22614,38,3,103408,4,14,2,2,2,2,1,0,0,40,1,1
22639,34,3,340917,11,15,2,2,2,1,1,2829,0,50,1,1
22677,40,3,214891,1,13,4,8,4,5,1,0,0,45,8,1
22742,26,3,90277,2,9,1,1,4,1,1,0,0,40,1,1
22771,40,7,209344,2,9,3,1,5,1,2,0,0,15,1,1
22788,21,3,143604,6,10,1,5,4,1,2,0,0,29,1,1
22790,31,2,162551,16,8,2,6,3,3,2,0,0,50,1,1
22861,36,3,361888,6,10,2,7,2,1,1,0,0,40,1,2
22907,57,3,122497,5,5,7,5,5,2,1,0,0,52,1,1
22981,56,1,83696,1,13,5,4,1,1,2,0,0,38,1,1
23032,33,3,578701,1,13,2,2,2,2,1,0,0,40,1,1
23115,24,3,270872,2,9,1,7,6,1,1,594,0,40,1,1
23173,19,3,254247,16,8,1,1,4,1,1,0,0,38,1,1
23236,54,7,304570,1,13,2,10,2,3,1,7688,0,40,14,2
23284,20,3,153583,6,10,1,1,4,1,2,0,0,40,1,1
23434,32,3,251701,7,12,1,4,1,1,1,0,0,40,1,1
23440,22,3,341610,6,10,1,6,1,1,1,0,0,35,1,1
23466,27,5,282664,1,13,1,4,1,5,2,0,0,45,1,1
23470,27,3,271603,9,4,1,5,1,1,1,0,0,24,6,1
23565,30,4,54684,11,15,1,2,1,1,1,0,0,55,1,1
23637,46,7,200949,1,13,7,2,1,1,2,0,0,50,1,1
23687,37,3,186191,2,9,2,5,2,1,1,0,0,45,1,1
